station,hour,day_of_week,month,is_weekend,is_holiday,is_peak_hour,crowd_level
Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,0,3,11,0,0,0,0.3888883677456998
Tiruvottiyur,4,3,8,0,0,0,0.34069225221523436
Alandur,0,6,7,1,0,0,0.5676826716122141
Sir Theagaraya College,13,6,7,1,0,0,0.4121210388117451
Kaladipet,8,0,10,0,0,1,0.8249309900895637
High Court,4,4,10,0,0,0,0.35723935378727234
Wimco Nagar,23,3,9,0,0,0,0.1449217425044188
Arumbakkam,15,1,7,0,0,0,0.3712252045014577
Little Mount,23,2,9,0,0,0,0.14272960377122457
Saidapet,9,0,11,0,0,1,1.0
LIC,5,6,1,1,1,0,0.6140652927847562
Anna Nagar East,5,4,3,0,0,0,0.522821227118157
Saidapet,5,1,5,0,0,0,0.23927029363838723
Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,6,4,7,0,0,0,0.1820320369727071
Guindy,6,6,11,1,0,0,0.65602847181818
Little Mount,3,5,6,1,0,0,0.6716730444629094
Anna Nagar Tower,6,0,4,0,0,0,0.28213512403538177
Shenoy Nagar,9,4,9,0,0,1,0.9584535558533835
Alandur,0,0,2,0,0,0,0.33629120550538455
Tollgate,5,6,2,1,0,0,0.4481429259789309
Wimco Nagar Depot,23,1,6,0,0,0,0.4644374028919497
Alandur,12,5,4,1,0,0,0.7048083801379432
Ashok Nagar,16,3,11,0,0,1,0.8369216830781683
Thousand Lights,14,4,11,0,1,0,0.817492809559213
Tiruvottiyur Theradi,11,5,10,1,0,0,0.7213136717532044
Koyambedu,13,2,12,0,0,0,0.3267287240576272
Chennai International Airport,22,1,10,0,0,0,0.24896155223418795
Anna Nagar East,2,6,4,1,0,0,0.5076167406352715
Ashok Nagar,7,2,10,0,0,1,1.0
Alandur,18,4,7,0,0,1,1.0
Alandur,17,2,5,0,0,1,1.0
Wimco Nagar,14,0,9,0,0,0,0.47960397774458247
Vadapalani,10,4,3,0,0,1,1.0
Egmore,16,5,9,1,0,1,1.0
Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,11,5,12,1,0,0,0.584309642254376
Tiruvottiyur,22,5,4,1,0,0,0.35135980897333885
Nandanam,22,3,7,0,0,0,0.2573253750763625
Thirumangalam,23,2,5,0,0,0,0.17353948987006207
Meenambakkam,11,1,8,0,0,0,0.3628932623396812
Saidapet,14,2,2,0,0,0,0.4582289095735378
Mannadi,17,3,6,0,0,1,1.0
Wimco Nagar Depot,14,0,12,0,0,0,0.6141561282188085
Arumbakkam,1,0,10,0,0,0,0.20126056310394347
Alandur,15,3,5,0,0,0,0.583611610926015
Egmore,12,0,6,0,0,0,0.588584720849164
Nehru Park,4,0,10,0,0,0,0.2793748359323439
Shenoy Nagar,2,1,12,0,0,0,0.26048129178027835
Arumbakkam,17,5,1,1,0,1,1.0
Vadapalani,19,6,5,1,0,1,0.9008465360945999
Nandanam,5,5,5,1,0,0,0.42166272378519065
Tiruvottiyur,1,3,9,0,0,0,0.3189087767377172
Mannadi,4,6,10,1,0,0,0.4311552981024673
Nandanam,15,0,2,0,0,0,0.5612205715347267
Pachaiyappa's College,2,5,7,1,0,0,0.5963653699091775
Alandur,8,0,2,0,0,1,1.0
Mannadi,17,6,1,1,0,1,1.0
Tiruvottiyur,14,2,11,0,0,0,0.5922089093870879
Thousand Lights,22,2,5,0,0,0,0.13840858220928398
Mannadi,23,2,9,0,0,0,0.6161489617613959
Anna Nagar East,3,4,1,0,0,0,0.43635933265830756
Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,22,1,2,0,0,0,0.24044973769647912
Kaladipet,1,6,9,1,0,0,0.37523724458885943
Tollgate,14,6,4,1,0,0,0.6310792474474883
Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,22,6,11,1,0,0,0.3125298977352082
Nehru Park,15,3,11,0,0,0,0.5920054960348415
Vadapalani,2,4,7,0,0,0,0.21572870085130152
Tollgate,8,2,1,0,0,1,0.9059296622334108
Chennai International Airport,3,1,8,0,0,0,0.11426645230416453
Thirumangalam,16,0,5,0,0,1,1.0
Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,22,0,6,0,0,0,0.2733467202071025
Nanganallur Road,12,0,12,0,0,0,0.3607226185336501
Sir Theagaraya College,14,2,3,0,0,0,0.529143687417294
Thirumangalam,16,2,1,0,0,1,1.0
Anna Nagar Tower,16,4,11,0,0,1,1.0
Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,6,1,11,0,0,0,0.4264917686810276
Mannadi,11,4,11,0,0,0,0.4265354608534645
Tondiarpet,4,2,3,0,0,0,0.18641823863775103
Vadapalani,23,5,10,1,0,0,0.37833001273623196
Nehru Park,0,4,9,0,0,0,0.35032263045673
Kilpauk,14,4,4,0,0,0,0.4289442025822506
Sir Theagaraya College,0,2,3,0,0,0,0.3370127550409218
AG-DMS,6,0,6,0,0,0,0.3864187737574863
Mannadi,7,0,3,0,0,1,1.0
Tiruvottiyur,10,3,1,0,0,1,0.9050490721227138
Kilpauk,5,0,5,0,0,0,0.3674767676995828
Egmore,22,3,11,0,0,0,0.2619358203911237
Ekkattuthangal,2,1,10,0,0,0,0.22537938777377636
AG-DMS,6,0,11,0,0,0,0.14369867590802848
Washermanpet,5,4,5,0,0,0,0.40712445150102544
Ashok Nagar,18,5,4,1,0,1,1.0
Thousand Lights,16,3,8,0,0,1,0.8440145725132275
Wimco Nagar Depot,21,2,1,0,0,0,0.28866260011477757
Thirumangalam,2,1,12,0,0,0,0.45366331927436465
Government Estate,4,2,1,0,0,0,0.30634440113103834
Meenambakkam,17,1,3,0,0,1,0.966495784281725
Washermanpet,11,5,9,1,0,0,0.6570397131280938
Vadapalani,5,6,10,1,0,0,0.5301494375380637
Government Estate,14,3,8,0,0,0,0.590978848792778
Tiruvottiyur Theradi,9,2,12,0,0,1,0.9327742807132755
Thousand Lights,0,0,2,0,0,0,0.24964012290673723
Koyambedu,9,6,5,1,0,1,1.0
Nanganallur Road,13,0,4,0,0,0,0.3870589193561257
Egmore,18,5,4,1,0,1,1.0
Nehru Park,1,1,4,0,0,0,0.18471385796526735
AG-DMS,4,1,4,0,0,0,0.3663463067245283
Tondiarpet,0,3,6,0,0,0,0.41895883039245346
Nandanam,4,2,12,0,0,0,0.1483666718328152
Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,16,6,4,1,0,1,1.0
Little Mount,5,2,1,0,0,0,0.2657457706263445
Teynampet,12,6,12,1,0,0,0.6309256465680163
Nandanam,17,5,3,1,0,1,1.0
Anna Nagar Tower,15,5,7,1,0,0,0.6834531041626356
Meenambakkam,5,1,9,0,0,0,0.2244993536756435
Vadapalani,11,3,2,0,0,0,0.37355012389246034
Wimco Nagar Depot,2,4,12,0,1,0,0.6649518375124142
Teynampet,10,5,10,1,0,1,1.0
Anna Nagar Tower,14,3,4,0,0,0,0.4313606490216852
Saidapet,5,4,11,0,0,0,0.16060988479638888
AG-DMS,0,0,8,0,0,0,0.1476724880912732
LIC,7,2,4,0,0,1,1.0
Thousand Lights,0,6,9,1,0,0,0.4405356162792984
Pachaiyappa's College,10,1,10,0,0,1,0.8423918579923863
Saidapet,6,2,5,0,0,0,0.47942956063077835
Vadapalani,14,1,12,0,0,0,0.6039696102789512
Saidapet,18,2,2,0,0,1,1.0
Anna Nagar East,8,2,9,0,0,1,0.8699295552114265
Anna Nagar Tower,0,5,12,1,0,0,0.5880408591997975
Guindy,22,4,5,0,0,0,0.33754123262299496
Koyambedu,3,3,10,0,0,0,0.1927320857878194
Saidapet,18,3,7,0,0,1,1.0
Chennai International Airport,19,3,6,0,0,1,0.9194999507008069
Mannadi,0,6,7,1,0,0,0.42338860104076365
Pachaiyappa's College,23,5,9,1,0,0,0.5248240376442992
Mannadi,22,5,8,1,0,0,0.4382861149228451
Wimco Nagar,23,0,10,0,0,0,0.41361695273725835
Wimco Nagar,22,3,7,0,0,0,0.3262902300766023
Chennai International Airport,19,4,1,0,0,1,1.0
Pachaiyappa's College,18,1,1,0,0,1,0.7787541896645447
Wimco Nagar,19,6,4,1,0,1,1.0
Nandanam,12,4,12,0,0,0,0.38685225359338676
Kaladipet,3,1,3,0,0,0,0.16980584532106066
Sir Theagaraya College,7,4,6,0,0,1,1.0
Teynampet,8,3,5,0,0,1,1.0
Alandur,20,6,10,1,0,0,0.4562089389116943
Guindy,4,5,2,1,0,0,0.4421192214836146
Ekkattuthangal,8,2,4,0,0,1,0.8208191551186739
Ekkattuthangal,14,4,8,0,0,0,0.588986253404628
Pachaiyappa's College,1,6,8,1,0,0,0.5213826161913572
Puratchi Thalaivar Dr. M.G. Ramachandran Central,18,0,1,0,0,1,1.0
Nehru Park,13,1,5,0,0,0,0.5328099580882257
Teynampet,18,2,1,0,0,1,0.906121495802037
Shenoy Nagar,2,1,10,0,0,0,0.34950092353601564
Egmore,10,4,11,0,0,1,1.0
Thirumangalam,15,4,8,0,0,0,0.5632295177400845
Wimco Nagar,6,2,8,0,0,0,0.2023755739479591
Mannadi,4,0,1,0,0,0,0.15166370265573328
Ashok Nagar,17,6,10,1,0,1,0.9725292265503003
Kilpauk,13,3,6,0,0,0,0.40804283056447427
Kaladipet,16,5,9,1,0,1,1.0
Government Estate,13,4,9,0,0,0,0.6432562887012948
Teynampet,22,5,12,1,1,0,0.725568213594194
Mannadi,3,5,9,1,0,0,0.49069276366758907
Nehru Park,11,4,12,0,0,0,0.6269038812089859
Chennai International Airport,17,0,4,0,0,1,0.8517037186856472
Pachaiyappa's College,11,3,11,0,1,0,0.7397386299372082
Mannadi,18,5,10,1,0,1,1.0
Tondiarpet,11,6,12,1,0,0,0.7386550036707149
Tondiarpet,16,5,8,1,0,1,1.0
Egmore,10,4,6,0,0,1,0.7265579808065094
Guindy,7,5,11,1,0,1,1.0
LIC,13,3,8,0,0,0,0.44991512726949956
Vadapalani,2,6,1,1,0,0,0.2076672817824532
Teynampet,8,2,9,0,0,1,1.0
Chennai International Airport,14,5,10,1,0,0,0.8235873190621433
Nehru Park,3,1,12,0,0,0,0.4907336025265626
Ekkattuthangal,12,4,2,0,0,0,0.6816683860418724
Alandur,7,4,12,0,0,1,1.0
Nandanam,18,5,7,1,0,1,1.0
St. Thomas Mount,9,2,9,0,0,1,0.9970140596014323
Pachaiyappa's College,5,1,5,0,0,0,0.3235513214210675
Saidapet,16,3,8,0,0,1,1.0
Thirumangalam,11,2,3,0,0,0,0.44673522214536737
Tollgate,16,6,7,1,0,1,1.0
Wimco Nagar,23,0,5,0,0,0,0.20816536391889745
Guindy,0,5,1,1,0,0,0.45351712528603133
Kilpauk,14,4,8,0,0,0,0.6375216377342429
Little Mount,17,2,1,0,0,1,1.0
Kilpauk,23,6,6,1,0,0,0.4489378680519882
Anna Nagar Tower,5,0,11,0,0,0,0.4407229603332834
Tollgate,9,3,9,0,0,1,0.820722228473757
Arumbakkam,15,2,12,0,0,0,0.49718020287509557
Egmore,18,6,6,1,0,1,1.0
Nandanam,18,1,12,0,0,1,1.0
Nehru Park,7,2,10,0,1,1,1.0
Tondiarpet,4,3,5,0,0,0,0.14836235476710688
Teynampet,19,6,9,1,0,1,1.0
Wimco Nagar Depot,12,3,12,0,0,0,0.5650546131124895
Chennai International Airport,22,5,9,1,0,0,0.5521676153441969
Thousand Lights,17,4,12,0,0,1,0.7851535354903968
Ekkattuthangal,0,5,5,1,0,0,0.41250524800635724
Little Mount,22,1,1,0,0,0,0.21936709702256418
Anna Nagar East,19,2,5,0,0,1,1.0
Nehru Park,14,1,4,0,0,0,0.29464199934542096
Kaladipet,22,5,9,1,0,0,0.2761087822795156
Egmore,21,0,10,0,0,0,0.31533782060166504
Nanganallur Road,14,3,8,0,0,0,0.4983470788991157
Wimco Nagar Depot,11,5,12,1,0,0,0.6652749927916634
Shenoy Nagar,17,2,5,0,0,1,1.0
Tiruvottiyur Theradi,9,5,7,1,0,1,1.0
St. Thomas Mount,19,0,4,0,0,1,1.0
Pachaiyappa's College,21,5,9,1,0,0,0.5332038906293242
Teynampet,23,3,2,0,0,0,0.3872606665228806
Chennai International Airport,21,6,10,1,0,0,0.3846954742408341
Pachaiyappa's College,12,4,3,0,0,0,0.42216310353418307
Meenambakkam,9,1,5,0,0,1,0.8159211555335872
Alandur,6,3,1,0,0,0,0.23140475827370569
Sir Theagaraya College,18,0,8,0,0,1,1.0
Wimco Nagar Depot,9,1,4,0,0,1,0.971109662230698
Pachaiyappa's College,6,0,3,0,0,0,0.3909964362898732
Tollgate,12,2,9,0,0,0,0.5553338839677872
Mannadi,21,5,2,1,0,0,0.2314963137516011
Vadapalani,7,0,2,0,0,1,1.0
Shenoy Nagar,1,0,3,0,0,0,0.27418541698282756
Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,14,2,11,0,1,0,1.0
Saidapet,2,1,9,0,0,0,0.3097912616603764
Anna Nagar Tower,10,2,3,0,0,1,1.0
Kilpauk,16,6,12,1,0,1,1.0
Nandanam,9,1,7,0,0,1,0.8996149331039296
Anna Nagar Tower,18,1,6,0,0,1,1.0
Tiruvottiyur Theradi,17,5,6,1,0,1,1.0
AG-DMS,5,6,10,1,0,0,0.3488405517067605
Shenoy Nagar,22,4,1,0,0,0,0.4411618205965495
Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,5,3,3,0,0,0,0.5143343990199494
Thousand Lights,20,2,1,0,0,0,0.409220812802968
Sir Theagaraya College,7,2,8,0,0,1,1.0
Kaladipet,16,1,6,0,0,1,1.0
Chennai International Airport,4,5,6,1,0,0,0.35326082904187267
St. Thomas Mount,22,1,10,0,0,0,0.38248691804316437
LIC,12,4,1,0,0,0,0.42424063864091155
Thirumangalam,6,0,7,0,0,0,0.13956646644646212
Egmore,16,1,12,0,0,1,0.9265800721416654
Meenambakkam,6,1,7,0,0,0,0.37596385542378985
Nanganallur Road,9,3,6,0,0,1,1.0
Thousand Lights,8,0,1,0,0,1,1.0
Kilpauk,17,6,6,1,0,1,1.0
Pachaiyappa's College,19,1,7,0,0,1,0.8667705095557795
Pachaiyappa's College,22,6,12,1,0,0,0.34538873703550155
Tollgate,1,0,2,0,0,0,0.1882245508333446
Ekkattuthangal,18,2,4,0,0,1,0.9912624019208969
Ashok Nagar,17,6,5,1,0,1,1.0
Meenambakkam,20,2,2,0,0,0,0.485508064547558
Wimco Nagar Depot,0,4,11,0,0,0,0.45306527594013885
Government Estate,23,5,4,1,0,0,0.5189225072092565
Washermanpet,0,4,5,0,0,0,0.12026187344121847
Tollgate,1,3,5,0,0,0,0.3729318179779264
Wimco Nagar,17,5,6,1,0,1,1.0
Tollgate,16,2,5,0,0,1,1.0
Mannadi,16,0,3,0,0,1,1.0
Thousand Lights,1,4,3,0,0,0,0.23346018695230444
Tiruvottiyur,11,5,5,1,0,0,0.7592660044788668
Guindy,20,1,9,0,0,0,0.23715636056519235
Nanganallur Road,1,3,12,0,1,0,0.33314758754301177
Little Mount,11,6,10,1,0,0,0.5148549509632544
LIC,3,1,6,0,0,0,0.24697306196231011
Saidapet,14,6,5,1,0,0,0.6366262481964505
Anna Nagar East,9,6,10,1,0,1,1.0
Sir Theagaraya College,19,3,5,0,0,1,0.7010055764462606
Nanganallur Road,19,2,3,0,0,1,0.8866060216603282
LIC,13,0,10,0,0,0,0.4585666519866032
Saidapet,5,1,8,0,0,0,0.45332174258018715
Tondiarpet,6,3,6,0,0,0,0.11682272133026014
Chennai International Airport,18,3,7,0,0,1,0.7640752607674498
Government Estate,5,5,3,1,0,0,0.4770073714342646
LIC,13,1,10,0,0,0,0.6746825884146727
Little Mount,11,1,6,0,0,0,0.5035469142272835
Anna Nagar Tower,7,6,4,1,0,1,1.0
Vadapalani,23,6,12,1,0,0,0.5327857169278379
High Court,6,4,3,0,0,0,0.24247764471925218
LIC,7,1,9,0,0,1,0.6643837233043249
Washermanpet,1,1,4,0,0,0,0.39226211713661385
Alandur,1,3,5,0,0,0,0.1245867208128402
Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,18,3,11,0,0,1,1.0
Nanganallur Road,20,0,3,0,0,0,0.28605960020990856
Wimco Nagar,4,3,7,0,0,0,0.3093946173240964
Anna Nagar East,20,2,5,0,0,0,0.19718333200455193
Koyambedu,10,6,4,1,0,1,1.0
Saidapet,2,0,5,0,0,0,0.3152364015334886
Koyambedu,7,1,4,0,0,1,0.8556537358054664
Puratchi Thalaivar Dr. M.G. Ramachandran Central,17,3,6,0,0,1,1.0
Ekkattuthangal,21,0,12,0,0,0,0.20952175119127947
Pachaiyappa's College,22,0,2,0,0,0,0.500018508837797
Little Mount,9,2,9,0,0,1,1.0
Pachaiyappa's College,10,4,1,0,1,1,1.0
Little Mount,21,0,6,0,0,0,0.16587866881957491
Pachaiyappa's College,8,1,7,0,0,1,1.0
Koyambedu,7,0,2,0,0,1,1.0
Tiruvottiyur Theradi,20,3,10,0,0,0,0.3153185768538067
Chennai International Airport,2,6,12,1,0,0,0.6960778080491373
Ekkattuthangal,0,6,3,1,0,0,0.5353716787904591
Thirumangalam,10,5,12,1,0,1,0.9432506813578831
Guindy,11,4,2,0,0,0,0.5661251695275036
Tiruvottiyur Theradi,7,2,9,0,0,1,0.820220141666619
Thousand Lights,21,5,11,1,0,0,0.48420009508971196
Thirumangalam,6,4,5,0,0,0,0.2429559431236376
Tondiarpet,9,5,8,1,0,1,1.0
Government Estate,16,1,10,0,0,1,1.0
Anna Nagar East,14,3,10,0,0,0,0.434551838342781
Sir Theagaraya College,5,0,12,0,0,0,0.3292422534567736
Saidapet,22,0,5,0,0,0,0.2904242276205236
Mannadi,15,5,9,1,0,0,0.6373428369543815
Nandanam,10,0,10,0,0,1,0.8795415023609923
Thirumangalam,14,1,6,0,0,0,0.4388286459647633
Anna Nagar East,13,0,7,0,0,0,0.6645517915063824
Nehru Park,23,3,9,0,0,0,0.3278252449364404
LIC,0,4,10,0,1,0,0.6227779672216264
Pachaiyappa's College,1,0,10,0,0,0,0.2790562862485703
Thousand Lights,15,5,4,1,0,0,0.5013942185593048
Nandanam,7,1,9,0,0,1,1.0
Wimco Nagar Depot,11,3,6,0,0,0,0.6394911686374966
Tollgate,21,2,3,0,0,0,0.27143141731568093
Ekkattuthangal,14,2,4,0,0,0,0.5545715498537602
Mannadi,8,5,9,1,0,1,0.9562018077503331
Sir Theagaraya College,17,4,3,0,0,1,1.0
Mannadi,10,4,10,0,0,1,0.9542865156134476
Nehru Park,14,0,10,0,0,0,0.6856543941463507
Shenoy Nagar,22,4,8,0,0,0,0.17532059513491383
Tiruvottiyur,2,2,4,0,0,0,0.3730230579162089
Ekkattuthangal,5,6,5,1,0,0,0.3502608449703366
Nehru Park,12,5,5,1,0,0,0.6421757152391697
Arumbakkam,0,5,7,1,0,0,0.36228083401059274
Alandur,10,4,12,0,0,1,1.0
Vadapalani,6,4,4,0,0,0,0.2691935718106586
Nandanam,19,2,7,0,0,1,1.0
Wimco Nagar Depot,8,4,5,0,0,1,1.0
Tollgate,13,0,1,0,0,0,0.6659223702932602
Pachaiyappa's College,19,6,6,1,0,1,1.0
Nehru Park,16,0,12,0,0,1,1.0
Arumbakkam,22,3,3,0,0,0,0.25259148793550446
Shenoy Nagar,0,3,8,0,0,0,0.4816375033151161
Wimco Nagar Depot,3,2,9,0,0,0,0.1194537861633098
Arumbakkam,4,4,11,0,0,0,0.44099067087966987
Nandanam,10,2,12,0,0,1,0.8924795592879451
Nanganallur Road,13,2,2,0,0,0,0.34737536722309875
AG-DMS,10,4,8,0,0,1,1.0
Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,1,5,5,1,0,0,0.20153865839148224
Arumbakkam,13,1,3,0,0,0,0.5203255004416453
Little Mount,13,4,8,0,0,0,0.5537845247897254
Puratchi Thalaivar Dr. M.G. Ramachandran Central,20,1,3,0,0,0,0.1729411416239343
Wimco Nagar Depot,19,5,4,1,0,1,0.9539651484854781
AG-DMS,13,3,5,0,0,0,0.582712984112345
Ashok Nagar,0,5,11,1,0,0,0.4763888115978947
Puratchi Thalaivar Dr. M.G. Ramachandran Central,10,1,10,0,0,1,1.0
Ashok Nagar,2,0,1,0,0,0,0.27802994173489165
Government Estate,11,0,7,0,0,0,0.5712303116526096
Anna Nagar East,23,6,2,1,0,0,0.41925081924980906
Tollgate,1,3,10,0,0,0,0.3374174664837561
Egmore,12,0,10,0,0,0,0.39127939937877493
Shenoy Nagar,8,3,2,0,0,1,1.0
Anna Nagar East,2,5,7,1,0,0,0.471674832345252
Sir Theagaraya College,8,2,8,0,0,1,1.0
St. Thomas Mount,16,5,7,1,0,1,1.0
Puratchi Thalaivar Dr. M.G. Ramachandran Central,17,2,3,0,0,1,0.9115970992384379
Wimco Nagar Depot,7,0,12,0,0,1,0.8193242701321176
Anna Nagar Tower,13,4,2,0,0,0,0.4278827806741231
Thirumangalam,11,3,9,0,0,0,0.509286674218361
Anna Nagar East,19,6,2,1,0,1,0.9163303606083563
Nandanam,4,2,5,0,0,0,0.4428851693620869
Tiruvottiyur,11,4,11,0,0,0,0.33322232544605446
Teynampet,11,5,4,1,0,0,0.6472867381891673
St. Thomas Mount,5,3,4,0,0,0,0.28120259577079565
Pachaiyappa's College,16,5,8,1,0,1,1.0
Meenambakkam,19,2,12,0,0,1,1.0
LIC,14,2,1,0,0,0,0.5605356727108777
Kaladipet,2,0,1,0,0,0,0.3622820552256419
Anna Nagar Tower,15,1,8,0,0,0,0.3375203956559743
Wimco Nagar Depot,12,2,6,0,0,0,0.684110398977285
AG-DMS,22,5,6,1,0,0,0.6650626117601005
Government Estate,14,3,11,0,0,0,0.6292560899296875
Tiruvottiyur Theradi,15,2,12,0,1,0,0.726909872409916
Shenoy Nagar,13,2,3,0,0,0,0.602744104521288
Arumbakkam,16,1,2,0,0,1,1.0
Teynampet,22,3,2,0,0,0,0.2868920800769226
Arumbakkam,6,4,8,0,0,0,0.2984594860024069
Tiruvottiyur Theradi,5,3,1,0,0,0,0.13627948861329994
Wimco Nagar,17,1,7,0,0,1,1.0
Puratchi Thalaivar Dr. M.G. Ramachandran Central,17,2,2,0,0,1,0.7991718402726239
Guindy,2,1,6,0,0,0,0.25278357449590244
Vadapalani,11,6,2,1,0,0,0.6874939753860337
Nehru Park,23,0,11,0,0,0,0.2658433260846796
Pachaiyappa's College,8,0,12,0,0,1,1.0
Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,19,3,11,0,0,1,0.9686975533645162
Saidapet,15,4,2,0,0,0,0.5672094321524638
Thousand Lights,1,0,7,0,0,0,0.23458513053553337
Nehru Park,7,1,11,0,0,1,0.9414398941504696
High Court,5,2,5,0,0,0,0.43980308157669884
Ashok Nagar,14,6,10,1,0,0,0.4125797788570464
Ekkattuthangal,1,0,3,0,0,0,0.3051656923470626
Shenoy Nagar,1,5,12,1,1,0,0.6031931266221563
Arumbakkam,14,1,3,0,0,0,0.4284356099781896
Anna Nagar Tower,18,1,12,0,0,1,1.0
Tondiarpet,10,3,4,0,0,1,0.8963330069762679
Pachaiyappa's College,19,4,1,0,0,1,0.9697369543184248
Sir Theagaraya College,3,6,1,1,0,0,0.51735493768914
Koyambedu,21,6,10,1,0,0,0.24227246174077002
Wimco Nagar,0,5,3,1,0,0,0.5293243997237971
St. Thomas Mount,14,5,12,1,1,0,1.0
Ashok Nagar,14,0,7,0,0,0,0.4545596954145292
Puratchi Thalaivi Dr. J. Jayalalithaa CMBT,7,6,12,1,0,1,1.0
Ekkattuthangal,20,6,5,1,0,0,0.5940049503438257
